Gene	"Gene synonym"	"Gene description"
RGS14		"Regulator of G protein signaling 14"
RGS16	"A28-RGS14, RGS-r"	"Regulator of G protein signaling 16"
RGS17	"RGS-17, RGSZ2"	"Regulator of G protein signaling 17"
RGS20	"RGSZ1, ZGAP1"	"Regulator of G protein signaling 20"
RGS6		"Regulator of G protein signaling 6"
RGS7		"Regulator of G protein signaling 7"
RGS7BP	R7BP	"Regulator of G protein signaling 7 binding protein"
RGS9	"MGC111763, MGC26458, PERRS, RGS9L"	"Regulator of G protein signaling 9"
RHBDD2	"NPD007, RHBDL7"	"Rhomboid domain containing 2"
RHBDL1	"RHBDL, RRP"	"Rhomboid like 1"
RHEBL1	"FLJ25797, MGC34869, RHEB2"	"RHEB like 1"
RIMBP2	"KIAA0318, MGC15831, PPP1R133, RBP2, RIM-BP2"	"RIMS binding protein 2"
RIMS4	"C20orf190, dJ781B1.3"	"Regulating synaptic membrane exocytosis 4"
RIPPLY2	"C6orf159, dJ237I15.1"	"Ripply transcriptional repressor 2"
RNASE10	"RAH1, RNASE9"	"Ribonuclease A family member 10 (inactive)"
RNF103-CHMP3	RNF103-VPS24	"RNF103-CHMP3 readthrough"
RNF112	"BFP, ZNF179"	"Ring finger protein 112"
RNF144A	"hUIP4, KIAA0161, RNF144, UBCE7IP4"	"Ring finger protein 144A"
RNF152	FLJ39176	"Ring finger protein 152"
RNF165	"Ark2C, ARKL2, RNF111L2"	"Ring finger protein 165"
RNF175	FLJ34190	"Ring finger protein 175"
RNF182	MGC33993	"Ring finger protein 182"
RNF208	DKFZP761H1710	"Ring finger protein 208"
RNFT2	"FLJ14627, TMEM118"	"Ring finger protein, transmembrane 2"
ROBO2	KIAA1568	"Roundabout guidance receptor 2"
ROGDI	FLJ22386	"Rogdi atypical leucine zipper"
RORB	"NR1F2, ROR-BETA, RZRB"	"RAR related orphan receptor B"
RPAP2	"C1orf82, FLJ13150, Rtr1"	"RNA polymerase II associated protein 2"
RPE65	"BCO3, LCA2, rd12, RP20"	"Retinoid isomerohydrolase RPE65"
RPS6KL1	"MGC11287, RSKL2"	"Ribosomal protein S6 kinase like 1"
RSPO2	MGC35555	"R-spondin 2"
RSPO4	"C20orf182, dJ824F16.3"	"R-spondin 4"
RTKN	B5	Rhotekin
RTL1	"HUR1, Mar1, MART1, PEG11, SIRH2"	"Retrotransposon Gag like 1"
RTL9	"KIAA1318, Mar9, Mart9, RGAG1, SIRH10"	"Retrotransposon Gag like 9"
RTN1	NSP	"Reticulon 1"
RTN3	"ASYIP, HAP, NSPL2, NSPLII, RTN3-A1"	"Reticulon 3"
RTN4R	NOGOR	"Reticulon 4 receptor"
RTN4RL1	"DKFZp547J144, NgR3, NGRH2"	"Reticulon 4 receptor like 1"
RUFY4	"FLJ46536, ZFYVE31"	"RUN and FYVE domain containing 4"
RUNDC3A	"RAP2IP, RPIP8"	"RUN domain containing 3A"
RUNDC3B	"RPIB9, RPIP9"	"RUN domain containing 3B"
RXFP1	"LGR7, RXFPR1"	"Relaxin family peptide receptor 1"
RXFP3	"GPCR135, RLN3R1, RXFPR3, SALPR"	"Relaxin family peptide receptor 3"
RXFP4	"GPCR142, GPR100, RLN3R2, RXFPR4"	"Relaxin family peptide/INSL5 receptor 4"
RXRG	NR2B3	"Retinoid X receptor gamma"
RYR3		"Ryanodine receptor 3"
S1PR5	"Edg-8, EDG8"	"Sphingosine-1-phosphate receptor 5"
SALL1	"Hsal1, TBS, ZNF794"	"Spalt like transcription factor 1"
SALL2	"Hsal2, KIAA0360, ZNF795"	"Spalt like transcription factor 2"
SALL3	ZNF796	"Spalt like transcription factor 3"
SAMD13		"Sterile alpha motif domain containing 13"
SAMD14	FLJ36890	"Sterile alpha motif domain containing 14"
SAPCD2	"C9orf140, p42.3"	"Suppressor APC domain containing 2"
SBK1	Sbk	"SH3 domain binding kinase 1"
SCAMP5	MGC24969	"Secretory carrier membrane protein 5"
SCARA3	"APC7, CSR, CSR1, MSLR1, MSRL1"	"Scavenger receptor class A member 3"
SCART1	CD163c-alpha	"Scavenger receptor family member expressed on T cells 1"
SCD	"FADS5, SCDOS"	"Stearoyl-CoA desaturase"
SCD5	"ACOD4, FADS4, FLJ21032, HSCD5, SCD4"	"Stearoyl-CoA desaturase 5"
SCGB1C1	RYD5	"Secretoglobin family 1C member 1"
SCGN	"CALBL, DJ501N12.8, SECRET, SEGN"	"Secretagogin, EF-hand calcium binding protein"
SCN1B		"Sodium voltage-gated channel beta subunit 1"
SCN2B		"Sodium voltage-gated channel beta subunit 2"
SCN3B	HSA243396	"Sodium voltage-gated channel beta subunit 3"
SCN4B	LQT10	"Sodium voltage-gated channel beta subunit 4"
SCRG1	SCRG-1	"Stimulator of chondrogenesis 1"
SCRN1	KIAA0193	"Secernin 1"
SCYGR1	KRTAP28-1	"Small cysteine and glycine repeat containing 1"
SDC3	"N-syndecan, SYND3"	"Syndecan 3"
SDK2	"FLJ10832, KIAA1514"	"Sidekick cell adhesion molecule 2"
SECISBP2L	KIAA0256	"SECIS binding protein 2 like"
SELENOW	"SELW, SEPW1"	"Selenoprotein W"
SEMA3B	"LUCA-1, SemA, sema5, SEMAA, semaV"	"Semaphorin 3B"
SEMA4D	"C9orf164, CD100, coll-4, FLJ39737, SEMAJ"	"Semaphorin 4D"
SEMA5A	"SEMAF, semF"	"Semaphorin 5A"
SEMA5B	"FLJ10372, KIAA1445, SEMAG, SemG"	"Semaphorin 5B"
SEMA6A	"HT018, KIAA1368, SEMA, SEMA6A1, SEMAQ"	"Semaphorin 6A"
SEMA6B	"SEM-SEMA-Y, SEMA-VIB, SEMAN, semaZ"	"Semaphorin 6B"
SEPTIN5	"H5, HCDCREL-1, PNUTL1, SEPT5"	"Septin 5"
SEPTIN7	"CDC10, CDC3, SEPT7, SEPT7A"	"Septin 7"
SEPTIN8	"KIAA0202, SEP2, SEPT8"	"Septin 8"
SERP2	"bA269C23.1, C13orf21"	"Stress associated endoplasmic reticulum protein family member 2"
SERPINE3		"Serpin family E member 3"
SERPINI1	PI12	"Serpin family I member 1"
SERTM1	C13orf36	"Serine rich and transmembrane domain containing 1"
SEZ6L2	"FLJ90517, PSK-1"	"Seizure related 6 homolog like 2"
SFMBT2	KIAA1617	"Scm like with four mbt domains 2"
SFXN5	"BBG-TCC, SLC56A5"	"Sideroflexin 5"
SGK3	"SGK2, SGKL"	"Serum/glucocorticoid regulated kinase family member 3"
SGSM1	"KIAA1941, RUTBC2"	"Small G protein signaling modulator 1"
SGTB	"FLJ39002, Sgt2"	"Small glutamine rich tetratricopeptide repeat containing beta"
SH3GL2	"CNSA2, EEN-B1, SH3D2A, SH3P4"	"SH3 domain containing GRB2 like 2, endophilin A1"
SHANK3	"KIAA1650, prosap2, PSAP2, SPANK-2"	"SH3 and multiple ankyrin repeat domains 3"
SHC3	"N-Shc, NSHC, SHCC"	"SHC adaptor protein 3"
SHC4	"RaLP, SHCD"	"SHC adaptor protein 4"
SHF		"Src homology 2 domain containing F"
SHISA3	hShisa3	"Shisa family member 3"
SHISA4	"C1orf40, hShisa4, TMEM58"	"Shisa family member 4"
SHISA9		"Shisa family member 9"
SHISAL1	KIAA1644	"Shisa like 1"
SHISAL2A	"FAM159A, MGC52498"	"Shisa like 2A"
SHOX2	"OG12, OG12X, SHOT"	"Short stature homeobox 2"
SHROOM4	KIAA1202	"Shroom family member 4"
SIAH3	FLJ39203	"Siah E3 ubiquitin protein ligase family member 3"
SIGLEC8	"MGC59785, SAF2, SIGLEC-8, SIGLEC8L"	"Sialic acid binding Ig like lectin 8"
SIM1	bHLHe14	"SIM bHLH transcription factor 1"
SIPA1L2	"KIAA1389, SPAR2"	"Signal induced proliferation associated 1 like 2"
SIPA1L3	"KIAA0545, SPAR3"	"Signal induced proliferation associated 1 like 3"
SIRPA	"BIT, CD172a, MFR, MYD-1, P84, PTPNS1, SHPS-1, SHPS1, SIRP, SIRP-ALPHA-1, SIRPalpha, SIRPalpha2"	"Signal regulatory protein alpha"
SKOR2	"CORL2, Fussel-18, FUSSEL18"	"SKI family transcriptional corepressor 2"
SLC12A5	"KCC2, KIAA1176"	"Solute carrier family 12 member 5"
SLC14A1	"HsT1341, JK, RACH1, RACH2"	"Solute carrier family 14 member 1 (Kidd blood group)"
SLC18A2	"SVAT, SVMT, VMAT2"	"Solute carrier family 18 member A2"
SLC1A4	"ASCT1, SATT"	"Solute carrier family 1 member 4"
SLC22A15	FLIPT1	"Solute carrier family 22 member 15"
SLC22A23	"C6orf85, FLJ22174"	"Solute carrier family 22 member 23"
SLC24A3		"Solute carrier family 24 member 3"
SLC25A22	"EIEE3, FLJ13044, GC1, NET44"	"Solute carrier family 25 member 22"
SLC25A23	"APC2, FLJ30339, MGC2615"	"Solute carrier family 25 member 23"
SLC25A48	"FLJ44862, HDMCP"	"Solute carrier family 25 member 48"
SLC26A5	"DFNB61, PRES"	"Solute carrier family 26 member 5"
SLC2A6	"GLUT6, GLUT9, HSA011372"	"Solute carrier family 2 member 6"
SLC35F1	"C6orf169, dJ230I3.1"	"Solute carrier family 35 member F1"
SLC35F4	"C14orf36, FLJ37712"	"Solute carrier family 35 member F4"
SLC36A1	"LYAAT-1, PAT1, TRAMD3"	"Solute carrier family 36 member 1"
SLC44A1	"CD92, CDW92, CHTL1, CTL1"	"Solute carrier family 44 member 1"
SLC47A2	"FLJ31196, MATE2, MATE2-K"	"Solute carrier family 47 member 2"
SLC48A1	"FLJ20489, hHRG-1, HRG1"	"Solute carrier family 48 member 1"
SLC4A10	"NBCn2, NCBE"	"Solute carrier family 4 member 10"
SLC6A1	"GABATHG, GABATR, GAT1"	"Solute carrier family 6 member 1"
SLC6A15	"FLJ10316, hv7-3, NTT73, SBAT1, V7-3"	"Solute carrier family 6 member 15"
SLC6A9	GLYT1	"Solute carrier family 6 member 9"
SLC7A11	xCT	"Solute carrier family 7 member 11"
SLC7A5	"CD98, D16S469E, E16, LAT1, MPE16"	"Solute carrier family 7 member 5"
SLC9A5	NHE5	"Solute carrier family 9 member A5"
SLC9C2	"MGC43026, SLC9A11"	"Solute carrier family 9 member C2 (putative)"
SLCO1A2	"OATP, OATP-A, OATP1A2, SLC21A3"	"Solute carrier organic anion transporter family member 1A2"
SLCO3A1	"OATP-D, OATP3A1, SLC21A11"	"Solute carrier organic anion transporter family member 3A1"
SLITRK2	"CXorf1, CXorf2, KIAA1854, SLITL1, TMEM257"	"SLIT and NTRK like family member 2"
SLITRK3	KIAA0848	"SLIT and NTRK like family member 3"
SLITRK4	DKFZp547M2010	"SLIT and NTRK like family member 4"
SLITRK5	"bA364G4.2, KIAA0918, LRRC11"	"SLIT and NTRK like family member 5"
SMARCD3	"BAF60C, CRACD3, Rsc6p"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
SMCO2	"C12orf70, LOC341346"	"Single-pass membrane protein with coiled-coil domains 2"
SMIM10L2B	"LINC00087, NCRNA00087, RP11-85L21.2"	"Small integral membrane protein 10 like 2B"
SMIM17		"Small integral membrane protein 17"
SMIM18		"Small integral membrane protein 18"
SMIM29	"C6orf1, LBH, MGC57858"	"Small integral membrane protein 29"
SMOC1		"SPARC related modular calcium binding 1"
SMOX	"C20orf16, dJ779E11.1, FLJ20746, MGC1010, PAO, PAOh1, SMO"	"Spermine oxidase"
SNCG	"BCSG1, persyn, SR"	"Synuclein gamma"
SNN		Stannin
SNTA1	"LQT12, SNT1, TACIP1"	"Syntrophin alpha 1"
SNTG1	"G1SYN, SYN4"	"Syntrophin gamma 1"
SNX22	FLJ13952	"Sorting nexin 22"
SNX30	ATG24A	"Sorting nexin family member 30"
SOGA3	"C6orf174, dJ403A15.3"	"SOGA family member 3"
SORCS1		"Sortilin related VPS10 domain containing receptor 1"
SORCS2	KIAA1329	"Sortilin related VPS10 domain containing receptor 2"
SORL1	"C11orf32, gp250, LR11, LRP9, SorLA, SorLA-1"	"Sortilin related receptor 1"
SORT1	"Gp95, NT3"	"Sortilin 1"
SOX2		"SRY-box transcription factor 2"
SOX3	PHP	"SRY-box transcription factor 3"
SOX9	"CMD1, CMPD1, SRA1"	"SRY-box transcription factor 9"
SP9	ZNF990	"Sp9 transcription factor"
SPDYE17		"Speedy/RINGO cell cycle regulator family member E17"
SPECC1	"CYTSB, FLJ36955, HCMOGT-1, NSP"	"Sperm antigen with calponin homology and coiled-coil domains 1"
SPINK14	SPINK5L2	"Serine peptidase inhibitor Kazal type 14 (putative)"
SPINK9		"Serine peptidase inhibitor Kazal type 9"
SPOCD1	"FLJ25348, PPP1R146"	"SPOC domain containing 1"
SPOCK1	"SPOCK, testican-1, TIC1"	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
SPOCK2	"KIAA0275, testican-2"	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"
SPOCK3	testican-3	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
SPRED3		"Sprouty related EVH1 domain containing 3"
SPRN	"bA108K14.1, FLJ41197, Shadoo"	"Shadow of prion protein"
SPRY3	HSPRY3	"Sprouty RTK signaling antagonist 3"
SPTBN2	SCA5	"Spectrin beta, non-erythrocytic 2"
SRARP	"C1orf64, ERRF, MGC24047"	"Steroid receptor associated and regulated protein"
SRGAP2	"ARHGAP34, FNBP2, KIAA0456, SRGAP2A"	"SLIT-ROBO Rho GTPase activating protein 2"
SRGAP2B	SRGAP2P2	"SLIT-ROBO Rho GTPase activating protein 2B"
SRGAP2C	SRGAP2P1	"SLIT-ROBO Rho GTPase activating protein 2C"
SRGAP3	"ARHGAP14, KIAA0411, MEGAP, SRGAP2, WRP"	"SLIT-ROBO Rho GTPase activating protein 3"
SRP68		"Signal recognition particle 68"
SSTR1		"Somatostatin receptor 1"
SSTR2		"Somatostatin receptor 2"
SSTR3		"Somatostatin receptor 3"
SSX7		"SSX family member 7"
ST6GAL2	"KIAA1877, SIAT2, St6GalII"	"ST6 beta-galactoside alpha-2,6-sialyltransferase 2"
ST6GALNAC3	SIAT7C	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
ST6GALNAC5	"MGC3184, SIAT7E, ST6GalNAcV"	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
ST8SIA1	"SIAT8, SIAT8A"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
ST8SIA2	"HsT19690, SIAT8B, ST8SIA-II, STX"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
ST8SIA3	SIAT8C	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"
ST8SIA5	SIAT8E	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5"
ST8SIA6	SIAT8F	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
STAC2	24b2	"SH3 and cysteine rich domain 2"
STEAP1B		"STEAP family member 1B"
STIP1	"HOP, STI1"	"Stress induced phosphoprotein 1"
STK32A	"MGC22688, YANK1"	"Serine/threonine kinase 32A"
STMN1	"C1orf215, FLJ32206, Lag, LAP18, OP18, PP17, PP19, PR22, SMN"	"Stathmin 1"
STMN3	SCLIP	"Stathmin 3"
STON1-GTF2A1L	SALF	"STON1-GTF2A1L readthrough"
STOX1	"C10orf24, FLJ25162"	"Storkhead box 1"
STPG2	"C4orf37, MGC46496"	"Sperm tail PG-rich repeat containing 2"
STRIP2	"FAM40B, FAR11B, KIAA1170"	"Striatin interacting protein 2"
SULT6B1		"Sulfotransferase family 6B member 1"
SUSD4	FLJ10052	"Sushi domain containing 4"
SV2A	"KIAA0736, SV2"	"Synaptic vesicle glycoprotein 2A"
SYNDIG1	"C20orf39, DSPC2, FLJ14220, IFITMD5, TMEM90B"	"Synapse differentiation inducing 1"
SYNE1	"8B, ARCA1, C6orf98, CPG2, dJ45H2.2, enaptin, KIAA0796, MYNE1, Nesp1, Nesprin-1, SCAR8, SYNE-1B"	"Spectrin repeat containing nuclear envelope protein 1"
SYNJ1	"INPP5G, PARK20"	"Synaptojanin 1"
SYT11	"DKFZp781D015, KIAA0080, MGC10881, MGC17226"	"Synaptotagmin 11"
SYT13	KIAA1427	"Synaptotagmin 13"
SYT17	Syt-17	"Synaptotagmin 17"
SYT4	"HsT1192, KIAA1342"	"Synaptotagmin 4"
SYT7	"IPCA-7, MGC150517, PCANAP7, SYT-VII"	"Synaptotagmin 7"
SYT9		"Synaptotagmin 9"
SYTL5		"Synaptotagmin like 5"
TACR1	"NK1R, NKIR, SPR, TAC1R"	"Tachykinin receptor 1"
TACR3	"NK3R, NKR, TAC3R"	"Tachykinin receptor 3"
TAF11L10		"TATA-box binding protein associated factor 11 like 10"
TAF11L5		"TATA-box binding protein associated factor 11 like 5"
TAGLN3	"NP22, NP25"	"Transgelin 3"
TARS3	"FLJ25005, TARSL2, ThrRS-L"	"Threonyl-tRNA synthetase 3"
TAS2R30	"T2R30, TAS2R47"	"Taste 2 receptor member 30"
TAS2R4	T2R4	"Taste 2 receptor member 4"
TBC1D12	KIAA0608	"TBC1 domain family member 12"
TBC1D30	KIAA0984	"TBC1 domain family member 30"
TBC1D31	"Gm85, MGC21654, WDR67"	"TBC1 domain family member 31"
TBCB	"CG22, CKAP1, CKAPI"	"Tubulin folding cofactor B"
TBCEL-TECTA		"TBCEL-TECTA readthrough"
TBPL2	"TBP2, TRF3"	"TATA-box binding protein like 2"
TCEAL2	"my048, MY0876G05, WEX1"	"Transcription elongation factor A like 2"
TCEAL6	WEX2	"Transcription elongation factor A like 6"
TCEAL7	"MGC23947, WEX5"	"Transcription elongation factor A like 7"
TCERG1L	FLJ38950	"Transcription elongation regulator 1 like"
TCF4	"bHLHb19, E2-2, ITF2, SEF2-1B"	"Transcription factor 4"
TCFL5	"bHLHe82, CHA, E2BP-1, Figlb"	"Transcription factor like 5"
TCOF1	"TCS, treacle"	"Treacle ribosome biogenesis factor 1"
TCP11L2	MGC40368	"T-complex 11 like 2"
TENM1	"ODZ1, ODZ3, TEN-M1, TEN1, TNM"	"Teneurin transmembrane protein 1"
TENM3	"KIAA1455, ODZ3, Ten-M3, TEN3"	"Teneurin transmembrane protein 3"
TENM4	"KIAA1302, ODZ4, Ten-M4, TEN4"	"Teneurin transmembrane protein 4"
TET1	"bA119F7.1, CXXC6, KIAA1676, LCX"	"Tet methylcytosine dioxygenase 1"
TFAP2E	AP2E	"Transcription factor AP-2 epsilon"
TGFA		"Transforming growth factor alpha"
THRA	"AR7, EAR-7.1/EAR-7.2, ERBA, ERBA1, NR1A1, THRA1, THRA2, THRA3"	"Thyroid hormone receptor alpha"
THSD7B	KIAA1679	"Thrombospondin type 1 domain containing 7B"
THY1	CD90	"Thy-1 cell surface antigen"
TIAF1		"TGFB1-induced anti-apoptotic factor 1"
TIAM2	STEF	"TIAM Rac1 associated GEF 2"
TIGD3		"Tigger transposable element derived 3"
TLCD3B	"DKFZP434I2117, FAM57B"	"TLC domain containing 3B"
TLL2		"Tolloid like 2"
TLR9	CD289	"Toll like receptor 9"
TMC7	FLJ21240	"Transmembrane channel like 7"
TMCC3	KIAA1145	"Transmembrane and coiled-coil domain family 3"
TMEFF2	"CT120.2, HPP1, TENB2, TPEF, TR"	"Transmembrane protein with EGF like and two follistatin like domains 2"
TMEM121B	CECR6	"Transmembrane protein 121B"
TMEM158	"p40BBp, RIS1"	"Transmembrane protein 158"
TMEM163	"DKFZP566N034, SV31"	"Transmembrane protein 163"
TMEM169	FLJ34263	"Transmembrane protein 169"
TMEM178A	"MGC33926, TMEM178"	"Transmembrane protein 178A"
TMEM198	"MGC99813, TMEM198A"	"Transmembrane protein 198"
TMEM200C	TTMA	"Transmembrane protein 200C"
TMEM212	FLJ23172	"Transmembrane protein 212"
TMEM215		"Transmembrane protein 215"
TMEM229A		"Transmembrane protein 229A"
TMEM229B	"C14orf83, FLJ33387"	"Transmembrane protein 229B"
TMEM255A	"FAM70A, FLJ20716"	"Transmembrane protein 255A"
TMEM35A	"FLJ14084, NACHO, TMEM35, TUF-1"	"Transmembrane protein 35A"
TMEM63C	"C14orf171, CSC1, DKFZp434P0111, hsCSC1"	"Transmembrane protein 63C"
TMEM74	"FLJ30668, NET36"	"Transmembrane protein 74"
TMIE	DFNB6	"Transmembrane inner ear"
TMPRSS5	"MGC141886, MGC148044"	"Transmembrane serine protease 5"
TNFSF12-TNFSF13	TWE-PRIL	"TNFSF12-TNFSF13 readthrough"
TNIK	KIAA0551	"TRAF2 and NCK interacting kinase"
TNK2	"ACK, ACK1, p21cdc42Hs"	"Tyrosine kinase non receptor 2"
TP53INP2	"C20orf110, dJ1181N3.1, DKFZp434B2411, DKFZp434O0827, DOR, FLJ21759, FLJ23500, PINH"	"Tumor protein p53 inducible nuclear protein 2"
TPH1	"TPH, TPRH"	"Tryptophan hydroxylase 1"
TPRN	"C9orf75, DFNB79, FLJ90254"	Taperin
TRAJ24		"T cell receptor alpha joining 24"
TRAJ31		"T cell receptor alpha joining 31"
TRAJ54		"T cell receptor alpha joining 54"
TRAJ59		"T cell receptor alpha joining 59 (non-functional)"
TRAK2	"ALS2CR3, CALS-C, GRIF-1, KIAA0549, MILT2, OIP98"	"Trafficking kinesin protein 2"
TRAPPC3L	"bA259P20.2, BET3L, FLJ11180"	"Trafficking protein particle complex 3 like"
TRBV20OR9-2	"TCRBV20S2, TCRBV2O, TCRBV2S2O, TRBV20/OR9-2"	"T cell receptor beta variable 20/OR9-2 (non-functional)"
TRBV24-1	"TCRBV15S1, TCRBV24S1, TRBV241"	"T cell receptor beta variable 24-1"
TREM2	"TREM-2, Trem2a, Trem2b, Trem2c"	"Triggering receptor expressed on myeloid cells 2"
TREML1	"dJ238O23.3, TLT1"	"Triggering receptor expressed on myeloid cells like 1"
TRHDE	"PAP-II, PGPEP2, TRH-DE"	"Thyrotropin releasing hormone degrading enzyme"
TRIM2	"CMT2R, KIAA0517, RNF86"	"Tripartite motif containing 2"
TRIM41	"MGC1127, RINCK"	"Tripartite motif containing 41"
TRIM46	"FLJ23229, TRIFIC"	"Tripartite motif containing 46"
TRIM59	"Mrf1, RNF104, TRIM57, TSBF1"	"Tripartite motif containing 59"
TRIM62	"DEAR1, FLJ10759"	"Tripartite motif containing 62"
TRIM9	"RNF91, SPRING"	"Tripartite motif containing 9"
TRPC3		"Transient receptor potential cation channel subfamily C member 3"
TRPM2	"EREG1, KNP3, LTRPC2, NUDT9H, NUDT9L1, TRPC7"	"Transient receptor potential cation channel subfamily M member 2"
TSPAN5	"NET-4, TM4SF9, Tspan-5"	"Tetraspanin 5"
TSPAN7	"A15, CD231, DXS1692E, MRX58, MXS1, TALLA-1, TM4SF2"	"Tetraspanin 7"
TSPYL4	"dJ486I3.2, KIAA0721"	"TSPY like 4"
TTYH1		"Tweety family member 1"
TUB	rd5	"TUB bipartite transcription factor"
TUBA1A	"B-ALPHA-1, FLJ25113, TUBA3"	"Tubulin alpha 1a"
TUBB2A	"dJ40E16.7, TUBB, TUBB2"	"Tubulin beta 2A class IIa"
TVP23A	"FAM18A, YDR084C"	"Trans-golgi network vesicle protein 23 homolog A"
TYRO3	"Brt, Dtk, Etk-2, Rek, RSE, Sky, Tif"	"TYRO3 protein tyrosine kinase"
UBASH3B	"KIAA1959, STS-1, TULA-2, TULA2"	"Ubiquitin associated and SH3 domain containing B"
UBR1		"Ubiquitin protein ligase E3 component n-recognin 1"
UCMA	"C10orf49, GRP"	"Upper zone of growth plate and cartilage matrix associated"
UCN	"UI, UROC"	Urocortin
UMODL1		"Uromodulin like 1"
UNC5A	"KIAA1976, UNC5H1"	"Unc-5 netrin receptor A"
UNC5B	"p53RDL1, UNC5H2"	"Unc-5 netrin receptor B"
UNC5C		"Unc-5 netrin receptor C"
UNC5D	"KIAA1777, Unc5h4"	"Unc-5 netrin receptor D"
UNC79	KIAA1409	"Unc-79 homolog, NALCN channel complex subunit"
USP27X	USP27	"Ubiquitin specific peptidase 27 X-linked"
USP31	KIAA1203	"Ubiquitin specific peptidase 31"
USP54	"bA137L10.3, bA137L10.4, C10orf29, FLJ37318"	"Ubiquitin specific peptidase 54"
UTS2R	GPR14	"Urotensin 2 receptor"
VAMP1	"SYB1, VAMP-1"	"Vesicle associated membrane protein 1"
VSTM2A	"MGC33530, VSTM2"	"V-set and transmembrane domain containing 2A"
VSTM2L	"C20orf102, dJ1118M15.2"	"V-set and transmembrane domain containing 2 like"
VSTM5	"C11orf90, LOC387804"	"V-set and transmembrane domain containing 5"
VWA3A	"FLJ40941, FLJ46765"	"Von Willebrand factor A domain containing 3A"
VWA5B1	FLJ32784	"Von Willebrand factor A domain containing 5B1"
VWA5B2	"DKFZp761K032, LOC90113"	"Von Willebrand factor A domain containing 5B2"
WASF1	"KIAA0269, SCAR1, WAVE, WAVE1"	"WASP family member 1"
WASF3	"KIAA0900, SCAR3, WAVE3"	"WASP family member 3"
WDFY3	"ALFY, KIAA0993, ZFYVE25"	"WD repeat and FYVE domain containing 3"
WDPCP	"BBS15, C2orf86, CPLANE5, fritz, hFrtz"	"WD repeat containing planar cell polarity effector"
WIPF3	"CR16, FLJ36931"	"WAS/WASL interacting protein family member 3"
WNK1	"HSAN2, HSN2, PPP1R167, PRKWNK1"	"WNK lysine deficient protein kinase 1"
WNT6		"Wnt family member 6"
WNT7A	Wnt-7a	"Wnt family member 7A"
WSCD1	KIAA0523	"WSC domain containing 1"
WSCD2	KIAA0789	"WSC domain containing 2"
YPEL1		"Yippee like 1"
YPEL4	FLJ30213	"Yippee like 4"
YWHAG	"14-3-3ÃŽÂ³, 14-3-3GAMMA, PPP1R170"	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma"
YWHAH	YWHA1	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta"
Z84488.1		"Novel protein"
ZBTB18	"C2H2-171, RP58, TAZ-1, ZNF238"	"Zinc finger and BTB domain containing 18"
ZBTB37	"MGC2629, ZNF908"	"Zinc finger and BTB domain containing 37"
ZBTB8B	"DKFZp547H154, RP1-27O5.1, ZNF916B"	"Zinc finger and BTB domain containing 8B"
ZCCHC18	"PNMA7B, SIZN2"	"Zinc finger CCHC-type containing 18"
ZCCHC24	"C10orf56, FLJ90798, Z3CXXC8"	"Zinc finger CCHC-type containing 24"
ZCRB1	"MADP-1, MADP1, RBM36, SNRNP31, ZCCHC19"	"Zinc finger CCHC-type and RNA binding motif containing 1"
ZDHHC14	"FLJ20984, NEW1CP"	"Zinc finger DHHC-type palmitoyltransferase 14"
ZDHHC20	"DHHC20, FLJ25952"	"Zinc finger DHHC-type palmitoyltransferase 20"
ZEB2	"KIAA0569, SIP-1, SIP1, ZFHX1B"	"Zinc finger E-box binding homeobox 2"
ZFHX2	"KIAA1056, KIAA1762, ZFH-5, ZNF409"	"Zinc finger homeobox 2"
ZFHX4	"FLJ20980, ZFH4"	"Zinc finger homeobox 4"
ZFPM2	"FOG2, hFOG-2, ZC2HC11B, ZNF89B"	"Zinc finger protein, FOG family member 2"
ZIC3	"HTX, HTX1, ZNF203"	"Zic family member 3"
ZIC5		"Zic family member 5"
ZIM2	ZNF656	"Zinc finger imprinted 2"
ZNF157	HZF22	"Zinc finger protein 157"
ZNF302	"ZNF135L, ZNF140L, ZNF327"	"Zinc finger protein 302"
ZNF365	"KIAA0844, UAN"	"Zinc finger protein 365"
ZNF382	"FLJ14686, KS1"	"Zinc finger protein 382"
ZNF385A	"DKFZp586G1122, Hzf, ZFP385, ZNF385"	"Zinc finger protein 385A"
ZNF385C		"Zinc finger protein 385C"
ZNF423	"Ebfaz, hOAZ, JBTS19, KIAA0760, NPHP14, OAZ, Zfp104"	"Zinc finger protein 423"
ZNF442	FLJ14356	"Zinc finger protein 442"
